id,workflow,category,roi,token_est,exec_frequency_per_completed_package,monthly_cost_est_100_pkgs_usd,monthly_cost_est_500_pkgs_usd,maintenance_burden,measurable_quality_improvement,deletion_risk,recommendation
"direval-diversity","Direction Evaluation","Important","High","55","1","0.0165","0.0825","Low","Yes — tied to known failure modes","Low","Merge; avoid restating"
"ideate-system","Ideation","Critical","High","35","1.125","0.0118","0.0591","Low","Yes — tied to known failure modes","High","Keep"
"ideate-hard-requirements","Ideation","Critical","High","220","1.125","0.0742","0.3713","High","Yes — tied to known failure modes","High","Keep core; move dark-office/B2B bans to veto-only"
"ideate-memory","Ideation","Critical","High","90","1.125","0.0304","0.1519","Medium","Yes — tied to known failure modes","Medium","Keep; don't restate in Presentation"
"ideate-dna-authoring","Ideation","Critical","High","160","1.125","0.0540","0.2700","Medium","Yes — tied to known failure modes","High","Author once; Presentation receives structured DNA only"
"critic-system","Creative Critic","Conflicting","High","55","0.875","0.0144","0.0722","Medium","Yes — tied to known failure modes","High","Keep; document as intentional conflict with ATTENTION FIRST (C2)"
"critic-comparative","Creative Critic","Important","High","70","0.875","0.0184","0.0919","Medium","Yes — tied to known failure modes","Medium","Keep; avoid restating in Presentation"
"pkg-system","Presentation","Critical","High","55","1.125","0.0186","0.0928","Low","Yes — tied to known failure modes","High","Keep minimal system"
"pkg-creative-directive","Presentation","Critical","High","220","1.125","0.0742","0.3713","High","Yes — tied to known failure modes","High","Keep MODE BEATS as sole structure; delete Preferred Arc / Narrative Beats prose overlap"
"pkg-package-diversity","Presentation","Critical","High","180","1.125","0.0607","0.3038","Medium","Yes — tied to known failure modes","Medium","Keep; pass lens as typed field"
"pkg-attention-first","Presentation","Conflicting","High","170","1.125","0.0574","0.2869","High","Yes — tied to known failure modes","High","Keep intent; document Critic counterweight; delete Mechanism/Hook restatements"
"pkg-attention-mechanism","Presentation","Redundant","Low","420","1.125","0.1418","0.7087","High","Unknown / low isolation","Medium","Delete after Candidate+Hook coverage proven"
"pkg-creative-candidate","Presentation","Critical","High","280","1.125","0.0945","0.4725","Medium","Yes — tied to known failure modes","High","Keep as Presentation core"
"pkg-story-integrity-block","Presentation","Important","Medium","220","1.125","0.0742","0.3713","High","Partial / hard to isolate","Medium","Thin to failure-code hints; rely on validator+repair"
"pkg-product-demo-block","Presentation","Important","Medium","140","1.125","0.0473","0.2363","Medium","Partial / hard to isolate","Medium","Thin; one PPD decision payload"
"pkg-creative-dna","Presentation","Critical","High","260","1.125","0.0878","0.4388","Medium","Yes — tied to known failure modes","High","Pass DNA object; shrink prose"
"pkg-narrative-beats","Presentation","Conflicting","Medium","280","1.125","0.0945","0.4725","High","Partial / hard to isolate","Medium","Either MODE BEATS or Narrative Beats — not both prose stacks"
"pkg-content-quality","Presentation","Legacy","Medium","220","1.125","0.0742","0.3713","High","Partial / hard to isolate","Medium","Keep VO hard-cap reminder once; delete Preferred Arc"
"pkg-hook-v2","Presentation","Legacy","Low","180","1.125","0.0607","0.3038","Medium","Unknown / low isolation","Medium","Delete after hook enforcement coverage proven"
"pkg-visual-beats-core","Presentation","Critical","High","140","1.125","0.0473","0.2363","Medium","Yes — tied to known failure modes","Medium","Keep; one no-text rule shared"
"pkg-visual-progression","Presentation","Useful","Medium","160","1.125","0.0540","0.2700","Medium","Partial / hard to isolate","Low","Thin; CONFLICT C7 with mode beats"
"pkg-opening-priority-resolver","Presentation","Legacy","Medium","200","1.125","0.0675","0.3375","High","Partial / hard to isolate","Medium","Delete after collapsing opening owners to Candidate+DNA"
"pkg-visual-narrative","Presentation","Useful","Low","450","1.125","0.1519","0.7594","High","Unknown / low isolation","Medium","Aggressive cut candidate; DNA should own world"
"pkg-product-reveal","Presentation","Important","Medium","280","1.125","0.0945","0.4725","High","Partial / hard to isolate","Medium","Move to deterministic plan payload"
"pkg-visual-style","Presentation","Redundant","Low","110","1.125","0.0371","0.1856","Low","Unknown / low isolation","Low","Delete; rely on ideation veto + DNA atmosphere"
"pkg-creative-identity","Presentation","Conflicting","Medium","180","1.125","0.0607","0.3038","High","Partial / hard to isolate","Medium","Emit treatment keys only; fix dual-signal Environment line"
"pkg-device-screen-realism","Presentation","Important","High","160","1.125","0.0540","0.2700","Medium","Yes — tied to known failure modes","Medium","Keep compact; validator is primary"
"pkg-funnel-asset-policy","Presentation","Redundant","Low","90","1.125","0.0304","0.1519","Medium","Unknown / low isolation","Low","Delete; Coverage is source of truth"
"pkg-asset-coverage","Presentation","Important","Medium","200","1.125","0.0675","0.3375","Medium","Partial / hard to isolate","Medium","Pass stance enum + eligible ids"
"pkg-smart-asset-usage","Presentation","Critical","High","240","1.125","0.0810","0.4050","Medium","Yes — tied to known failure modes","Medium","Prefer hard renderer rejects; keep short prompt reminder"
"pkg-visual-scene-plan","Presentation","Critical","High","240","1.125","0.0810","0.4050","Medium","Yes — tied to known failure modes","Medium","Keep; CONFLICT C3 with required coverage"
"pkg-presentation-core","Presentation","Critical","High","180","1.125","0.0607","0.3038","High","Yes — tied to known failure modes","Medium","Keep rubric; compress examples (see prompt-cost)"
"pkg-presentation-typed-scenes","Presentation","Critical","High","910","1.125","0.3071","1.5356","High","Yes — tied to known failure modes","Medium","Keep invent bans; move examples to short type cards"
"pkg-scene-type-memory","Presentation","Useful","Medium","220","1.125","0.0742","0.3713","Medium","Partial / hard to isolate","Low","Prefer guardrail-only; delete prose"
"pkg-series-context","Presentation","Important","Medium","280","1.125","0.0945","0.4725","Medium","Partial / hard to isolate","Medium","Keep compact; don't duplicate anti-rep lists"
"pkg-platform-native","Presentation","Critical","High","450","1.125","0.1519","0.7594","High","Yes — tied to known failure modes","Medium","Keep native rewriting rule; config-ize per-platform essays"
"pkg-rules-line","Presentation","Conflicting","High","120","1.125","0.0405","0.2025","Medium","Yes — tied to known failure modes","Medium","Fix C4 scenario contract"
"repair-fidelity","Repair","Critical","High","220","0.125","0.0083","0.0413","High","Yes — tied to known failure modes","High","Keep appendix; stop full Presentation resend"
"repair-story-integrity","Repair","Conflicting","High","200","0.125","0.0075","0.0375","High","Yes — tied to known failure modes","High","Align with PPD; delta-only repair"
"repair-product-demo","Repair","Critical","High","90","0.125","0.0034","0.0169","Medium","Yes — tied to known failure modes","High","Keep delta appendix"
"repair-dna","Repair","Important","Medium","80","0.125","0.0030","0.0150","Low","Partial / hard to isolate","Medium","Keep separate small repair prompt"
