id,workflow,file,section_header,instruction_excerpt,purpose,problem_solved,likely_introduced_when,also_enforced_by,duplicated_in,category,confidence,still_necessary,token_est,notes
"dir-system","Direction","lib/creative-engine-v3/directionPrompt.ts","CREATIVE_DIRECTION_SYSTEM","Invent abstract DIRECTIONS (mechanisms), not stories/hooks/scenes/templates; JSON only.","Premature storytelling; template picking","generic / storytelling","Creative Engine v3","directionSchema","WHAT A DIRECTION IS","Critical","High","Yes","45",""
"dir-what-is","Direction","lib/creative-engine-v3/directionPrompt.ts","WHAT A DIRECTION IS","Abstract mechanism; examples illustrative only; do NOT write hooks/plots/characters/worlds/scripts.","Directions becoming mini-scripts","storytelling / generic","Creative Engine v3","direction eval","system message","Important","High","Yes (merge with system)","80","Near-duplicate of system"
"dir-hard-requirements","Direction","lib/creative-engine-v3/directionPrompt.ts","HARD REQUIREMENTS","Invent N–M distinct mechanisms; avoid recent; fit funnel/pain; no fake claims; no stories/hooks.","Homogeneous/fake directions","repetition / hallucination","Creative Engine v3","DIRECTION_GEN_MIN/MAX; schema","rejection appendix","Critical","High","Yes","90",""
"dir-memory","Direction","lib/creative-engine-v3/directionPrompt.ts","RECENT CREATIVE DIRECTIONS","Reject/avoid repeating recent mechanisms and fingerprint directions.","Mechanism reuse","repetition","Creative Engine v3 memory","veto fingerprint_collision","ideation memory; antiRepetition","Important","High","Yes at direction stage","55",""
"direval-system","Direction Evaluation","lib/creative-engine-v3/directionEvalPrompt.ts","CREATIVE_DIRECTION_CRITIC_SYSTEM","Select strongest AND most diverse set; directions are mechanisms not stories; do not invent concepts.","Picking near-duplicate high scores","repetition","Direction evaluation layer","DIRECTION_SELECT_MIN/MAX; deterministicDirectionFallback","body diversity rules","Critical","High","Yes","40",""
"direval-diversity","Direction Evaluation","lib/creative-engine-v3/directionEvalPrompt.ts","DIRECTION EVALUATION","Select K–L strong mutually diverse directions; prefer mechanism variety over slight score gaps.","Homogeneous shortlist","repetition","Direction evaluation","select bounds","system","Important","High","Yes (merge with system)","55",""
"ideate-system","Ideation","lib/creative-engine-v3/ideationPrompt.ts","CREATIVE_IDEATION_SYSTEM","Invent original concepts under assigned directions; never select from banks/templates; JSON only.","Template regurgitation","generic","Creative Engine v3","vetoInventedConcepts; ideationSchema","HARD REQUIREMENTS banks clause","Critical","High","Yes","35",""
"ideate-hard-requirements","Ideation","lib/creative-engine-v3/ideationPrompt.ts","HARD REQUIREMENTS","Per-direction + total counts; stay on mechanism; leave safe B2B zone; scroll-stop in 2s; distinctive worlds; forbid dark/laptop/dashboard defaults; natural product (not sales in s1); consistent creative_dna; feasible stills.","Generic dark-office ads; weak product","generic / hooks / storytelling","Creative Engine v3 + successive veto patches","vetoInventedConcepts; isDarkOfficeAtmosphere; DNA validators","VISUAL STYLE; Candidate; Critic; Vetoes","Critical","High","Yes but overgrown","220","Historical accretion; CONFLICT C5 with opening product rules"
"ideate-memory","Ideation","lib/creative-engine-v3/ideationPrompt.ts","RECENT CONTENT MEMORY","Avoid recent hooks/directions/fingerprints; invent visually different atmospheres when overused.","Concept clones","repetition","Creative Engine memory","vetoInventedConcepts","direction memory; antiRepetition; series","Critical","High","Yes","90",""
"ideate-dna-authoring","Ideation","lib/creative-candidates/creativeDNA.ts","Creative DNA authoring","DNA is canonical world/character/conflict/productRole/viewerQuestion/endingIntent + 3–6 immutableRules; must match concept fields.","DNA drift from invented concept","consistency","Creative DNA feature","validateCandidateDnaConsistency; repairWinnerCreativeDna","CANONICAL CREATIVE DNA package block","Critical","High","Yes at ideation; thin in presentation","160",""
"critic-system","Creative Critic","lib/creative-engine-v3/criticPrompt.ts","CREATIVE_CRITIC_SYSTEM","Rank comparatively; stop-scroll must NOT auto-override originality/funnel/coherence/product; no new concepts; no generic B2B safety preference.","Clickbait winners that fail commercial fit","hooks vs fit","Critic gate after Attention First","runCritic; deterministicCriticFallback","body anti-Attention-First-only shortlisting","Conflicting","High","Yes — intentional counterweight","55","CONFLICT C2"
"critic-comparative","Creative Critic","lib/creative-engine-v3/criticPrompt.ts","COMPARATIVE CRITIC","Score every dimension 0–10; rank best first; prefer difference from recent fingerprints; weaker stop can win if originality/funnel/product better.","Single-metric selection","hooks / consistency","Comparative critic","comparative judge persistence","Candidate Selection stop-power note","Important","High","Yes","70",""
"pkg-system","Presentation","lib/ai/prompts/generateContentPackage.ts","GENERATE_PACKAGE_SYSTEM","Complete package from strategy item; video mandatory vertical short; first 3s decide everything; platform-specific outputs.","Missing video / weak open","hooks / platform","Original package generation","checkContentPackageGuardrails (video)","ATTENTION FIRST; Opening Contract","Critical","High","Yes (short)","55",""
"pkg-creative-directive","Presentation","lib/ai/prompts/creativeDirectives.ts","CREATIVE DIRECTIVE + MODE BEATS + SAFETY","Mode/hook/persona shape tone/structure never facts; MODE BEATS are ONLY structure; safety: no lies/invented numbers/forbidden_claims; persona can’t change facts.","Generic marketing arcs; unsafe claims","storytelling / hallucination","Content Quality / Creative Directives","pickCreativeDirectives; checkContentPackageGuardrails","ATTENTION FIRST; CONTENT QUALITY preferred arc","Critical","High","Yes — but conflicts with other arcs","220","CONFLICT C1"
"pkg-package-diversity","Presentation","lib/ai/prompts/generateContentPackage.ts","PACKAGE DIVERSITY","Package N of M must differ in hook/pain/scenario/motif/CTA; lead via ANGLE LENS; do not repeat sibling angles.","Near-duplicate packages in one run","repetition","Run Package Diversity V1","angleLensForIndex","antiRepetition; series context","Critical","High","Yes (compact)","180",""
"pkg-attention-first","Presentation","lib/ai/prompts/generateContentPackage.ts","ATTENTION FIRST","Priority: scroll-stop → watch time → curiosity → emotion; follow MODE BEATS; fully commit; one curiosity loop paid late; bound by CREATIVE SAFETY.","Safe corporate arcs that don’t stop scroll","hooks / storytelling","Attention First V1 (audit-driven)","fidelity stop_scroll_idea (partial)","Attention Mechanism; Critic (opposite)","Conflicting","High","Yes as intent; conflicts with Critic","170","CONFLICT C2"
"pkg-attention-mechanism","Presentation","lib/attention/promptBlocks.ts","ATTENTION MECHANISM / OPENING CONTRACT","Mechanism-specific script/visual/avoid; reject office clichés; opening spoken/subtitle/visual coordinated; hook=first spoken; body needs turn/payoff; forbid dishonest outrage.","Weak openings; sanitized concepts","hooks / generic","Attention & Engagement v1","enforceCandidateHook; genericity matchers","ATTENTION FIRST; HOOK V2; Candidate","Redundant","High","No — overlaps Attention First + Candidate + Hook V2","420","Large historical layer"
"pkg-creative-candidate","Presentation","lib/creative-candidates/promptBlocks.ts","CREATIVE CANDIDATE SELECTION","Execute THIS winner; don’t invent safer montage; hookLine + openingSituation canonical; Identity treatment-only; DNA overrides Identity/Narrative/Reveal.","Winner collapse to generic ad","consistency / hooks","Creative Candidates","enforceCandidateHook; checkConceptFidelity; validateStoryIntegrity","Opening Priority; DNA; Fidelity repair","Critical","High","Yes — primary contract","280",""
"pkg-story-integrity-block","Presentation","lib/creative-candidates/storyIntegrity.ts","STORY INTEGRITY","Winner is source of truth; stay in selected world; ban fog/silhouettes/airport/space unless selected; escalate same conflict; actor continuity.","Mid-video metaphor escape","storytelling / consistency","Story Integrity validator era","validateStoryIntegrity","DNA; Narrative beats; Repair appendix","Important","High","Partially — validator exists","220","CONFLICT C6 with PPD wording in repair"
"pkg-product-demo-block","Presentation","lib/creative-candidates/productDemonstrationIntegrity.ts","PRODUCT DEMONSTRATION INTEGRITY","Follow PPD; no synthetic UI/fake dashboards; landing page alone ≠ proof; PRIMARY_ACTOR locked.","Fake UI / actor swaps","assets / hallucination","PPD / product demo integrity","validateProductDemonstrationIntegrity","VISUAL BEATS product demo; Product Reveal","Important","High","Partially — validator exists","140",""
"pkg-creative-dna","Presentation","lib/creative-candidates/creativeDNA.ts","CANONICAL CREATIVE DNA","Execution layer only; MUST preserve world/character/conflict/productRole/viewerQuestion/endingIntent/immutableRules; DNA wins conflicts with Identity/Narrative/Reveal.","Relocating/replacing invented concept","consistency","Creative DNA","validateCreativeDnaAgainstPackage; neutralizeIdentity*","Candidate DNA override; Opening Priority","Critical","High","Yes as structured fields + short rule","260","CONFLICT C1 with MODE/Narrative arcs"
"pkg-narrative-beats","Presentation","lib/narrative-beats/promptBlocks.ts","NARRATIVE BEATS","Map VO+scenes to HOOK→SETUP→ESCALATION→RESOLUTION; every beat new info; resolution shows product solving — not smile/icon/landing page.","Flat shot lists; fake resolution","storytelling","Narrative Beats feature","narrative-beats diagnostics","VISUAL PROGRESSION; Story Integrity; PREFERRED ARC","Conflicting","High","No as third arc — pick one structure","280","CONFLICT C1"
"pkg-content-quality","Presentation","lib/ai/prompts/generateContentPackage.ts","CONTENT QUALITY","15–25s; VO 40–70 words (hard >80 reject); PREFERRED STORY ARC hook→twist→payoff→CTA mapped onto MODE BEATS; forbid lectures/corporate jargon.","Essay VO / corporate shorts","hooks / validation","Content Quality Sprint 2","VOICEOVER_HARD_CAP; CORPORATE_COPY_PHRASES","CREATIVE SAFETY; Attention full script","Legacy","High","Keep VO length; Preferred Arc is legacy vs MODE BEATS","220","Historical second arc"
"pkg-hook-v2","Presentation","lib/ai/prompts/generateContentPackage.ts","HOOK V2","Write in assigned hook archetype; concrete moment; curiosity loop; hook==first spoken; candidate hookLine canonical.","Weak/generic openers; hook/VO mismatch","hooks / consistency","Hook V2 after weak openers","enforceCandidateHook; fidelity hook_not_preserved","Attention Opening Contract; Candidate hookLine","Legacy","High","Mostly superseded by Candidate hookLine + enforceCandidateHook","180","Historical patch beside stronger candidate controls"
"pkg-visual-beats-core","Presentation","lib/ai/prompts/generateContentPackage.ts","VISUAL BEATS","3–MAX distinct stills following MODE BEATS; escalate tension; purely visual — never readable text/labels.","Too many gens; garbled text in images","assets / storytelling","Video still generation","image_prompts count guardrail","Visual Medium; Product Reveal; Fidelity NO_TEXT","Critical","High","Yes (compact)","140",""
"pkg-visual-progression","Presentation","lib/ai/prompts/generateContentPackage.ts","VISUAL PROGRESSION","Adjacent IMAGE stills differ on ≥2 axes; prefer problem→failure→consequence→solution; micro-gesture changes insufficient.","Same-shot micro-variance","storytelling / repetition","Visual progression diagnostics","validateVisualProgression (narrative-beats)","Narrative Beats info progression","Useful","Medium","Partially — validator exists","160","CONFLICT C7"
"pkg-opening-priority-resolver","Presentation","lib/ai/prompts/generateContentPackage.ts","OPENING PRIORITY RESOLVER","Conflict order: Candidate open+hook → Attention open → DNA world → Identity treatment-only → Visual Narrative; product OK if situational; forbid sales open.","Competing prompt sections rewriting the open","consistency / repair","After multi-layer opening conflicts","fidelity opening_situation checks","Candidate; DNA; Identity; Attention","Legacy","High","Yes as symptom of debt — remove layers instead","200","Meta-debt: instruction exists because of too many instructions"
"pkg-visual-narrative","Presentation","lib/visual-narrative/promptBlocks.ts","VISUAL NARRATIVE / STORY DIRECTOR","Film director mindset; situation first; reject abstract riddles; Identity treatment-only; solution beat asset order.","Symbolic riddle imagery","storytelling / generic","Visual Narrative feature","mostly prompt; motif memory","Scene Meaning; Series motif","Useful","Medium","Optional if Candidate+DNA strong","450","Large block"
"pkg-product-reveal","Presentation","lib/product-reveal/promptBlocks.ts","PRODUCT REVEAL","Strategy guidance (REAL/FRAMED/INTERACTION/…); open may include product situationally, never sales open; no fake UI.","Unrenderable asset promises; early sales beats","assets / storytelling","Product Reveal planner","product reveal plan + asset safety","Smart Asset; Visual Narrative; Funnel","Important","High","Pass plan decisions, not policy essay","280","CONFLICT C3 with coverage"
"pkg-visual-style","Presentation","lib/ai/prompts/visualStyle.ts","VISUAL STYLE","Prefer clear/believable; avoid dark cinematic/thriller defaults unless concept requires.","Dark-office default look","generic","Visual style guidance","isDarkOfficeAtmosphere veto (concepts)","Ideation hard reqs; Veto dark office","Redundant","High","No if veto covers","110",""
"pkg-creative-identity","Presentation","lib/creative-identity/promptBlocks.ts","CREATIVE IDENTITY","Fixed package treatment axes; Identity NEVER location/event/openingSituation; DNA world mandatory; Narrative decides WHAT, Identity HOW.","Relocating story via environment styling","consistency","Creative Identity","neutralizeIdentityEnvironmentForDna","Opening Priority; Candidate; Visual Narrative","Conflicting","High","Partially — Environment line vs NEVER environment (C8)","180","CONFLICT C8"
"pkg-device-screen-realism","Presentation","lib/ai/prompts/visualStyle.ts","DEVICE & SCREEN REALISM","Natural device grips; no blank screens; screen content reinforces beat without readable text.","Uncanny device shots; empty screens","assets / validation","Blank screen failures","blankScreenPattern in guardrails","Smart Asset framed inserts","Important","High","Yes until blank-screen validator covers all paths","160",""
"pkg-funnel-asset-policy","Presentation","lib/ai/prompts/funnelAssetPolicy.ts","FUNNEL ASSET POLICY","Stage guidance (awareness mostly AI; conversion logo+UI near CTA); empty OK when coverage optional.","Wrong asset density by funnel","assets","Funnel asset policy","assetCoveragePolicy (harder)","PACKAGE ASSET COVERAGE; Sample","Redundant","High","No when Coverage present","90","CONFLICT C3"
"pkg-asset-coverage","Presentation","lib/assets/assetCoveragePolicy.ts","PACKAGE ASSET COVERAGE","Stance required/should/may/avoid with tier rules; empty still valid when unfit.","Zero product visibility OR forced bad crops","assets","Asset coverage policy","assetCoverageGuardrailShouldUse / required","Funnel policy; Sample; Smart Asset","Important","High","Yes as typed stance, not essay","200",""
"pkg-smart-asset-usage","Presentation","lib/assets/smartUsageMetadata.ts","SMART ASSET USAGE RULES","No landscape fullscreen; frame desktop in laptop/monitor; logos end-card; known video_usage enums; people/rooms → AI not static asset.","Ugly/unrenderable asset placements","assets","Smart asset usage","asset renderer eligibility / prepareVisualScenes","ASSET LIBRARY RULES; Product Reveal FRAMED","Critical","High","Yes until renderer rejects all bad placements","240",""
"pkg-visual-scene-plan","Presentation","lib/ai/prompts/generateContentPackage.ts","VISUAL SCENE PLAN + ASSET LIBRARY","Ordered visual_scenes; ai XOR asset; assets optional; place only when story needs; if unsure use AI.","Asset dumping; unordered plans","assets / storytelling","Visual scene plan","prepareVisualScenesForVideo; coverage","Smart Asset; Funnel; Coverage","Critical","High","Yes (compact)","240",""
"pkg-presentation-core","Presentation","lib/ai/prompts/presentationGeneration.ts","PRESENTATION (decision rubric)","Strongest expression wins; typed scenes only when materially better; no quotas; write narrative first then choose presentation.","Forced typed-scene variety","assets / storytelling","Presentation generation block","applySceneTypeHistoryGuardrail","Scene Type Memory; Series","Critical","High","Yes but examples inflate size","180","~2.5k tok presentation block measured"
"pkg-presentation-typed-scenes","Presentation","lib/ai/prompts/presentationGeneration.ts","CHECKLIST/PHONE/QUOTE/STAT/CTA rules","≤1 each typed scene; quotes/stats verbatim from approved pools; no invent; IMAGE preferred when not materially better.","Typed-scene spam; fake testimonials/numbers","hallucination / assets","Typed presentation scenes","quote/stat payload validators; sceneTypeHistoryGuardrail","Proof rules; CREATIVE SAFETY","Critical","High","Yes for invent bans; thin examples","910","Aggregated typed-scene family"
"pkg-scene-type-memory","Presentation","lib/scene-types/presentation/sceneTypeHistoryPrompt.ts","SCENE TYPE MEMORY","Soft signals only; don’t force typed scenes for variety; IMAGE-only series OK.","Mechanical typed-scene rotation","repetition","Scene type history","applySceneTypeHistoryGuardrail","PRESENTATION rubric; Series","Useful","Medium","Optional — guardrail soft-demotes","220",""
"pkg-series-context","Presentation","lib/series/seriesDiversityPrompt.ts","SERIES CONTEXT","Distinct from recent fingerprints/hooks/motifs; clarity > artificial difference; closing guidance by funnel.","Series sameness","repetition","Series diversity","fingerprint loaders (soft)","antiRepetition; ideation memory","Important","Medium","Yes when series mode on","280",""
"pkg-platform-native","Presentation","lib/ai/prompts/generateContentPackage.ts","PLATFORM-NATIVE WRITING + STYLES","Don’t paste VO into captions; rewrite per platform; YT Shorts not SEO; X length; per-platform tone/structure/CTA.","One master caption reformatted","platform / repetition","Sprint 4B platform-native","checkPlatformNativeWriting; YT/X hard caps","WEBSITE link rules CTAs","Critical","High","Yes but huge — move styles to config tables","450",""
"pkg-rules-line","Presentation","lib/ai/prompts/generateContentPackage.ts","Rules / MIXED PLATFORMS","funnel_stage must match; video mandatory or text-only omit; never modify STATIC; scenario field = pool line verbatim or """".","Schema/platform failures","validation / assets","Package schema hardening","checkContentPackageGuardrails; checkAssetModification","HARD CONSTRAINTS; AVAILABLE ASSETS STATIC","Conflicting","High","Yes for STATIC; scenario verbatim CONFLICTS ctx-scenario-rules","120","CONFLICT C4"
"repair-fidelity","Repair","lib/creative-candidates/fidelityCheck.ts","CREATIVE CANDIDATE FIDELITY REPAIR","Match selected candidate exactly (hookLine, openingSituation, coreIdea, progression); no generic office/essay/sales open; NO_TEXT in images.","Failed fidelity after first gen","repair / consistency","Concept fidelity hard fails","checkConceptFidelity (re-run)","Candidate hard rules; Opening Priority","Critical","High","Yes as delta appendix only","220",""
"repair-story-integrity","Repair","lib/creative-candidates/storyIntegrity.ts","STORY INTEGRITY REPAIR","Fix listed hard codes; no middle metaphor escape; include explicit product demonstration input→value→outcome; keep actor/world.","World drift / missing value proof","repair / storytelling","Story integrity hard fails","validateStoryIntegrity","STORY INTEGRITY block; PPD","Conflicting","High","Yes but product-demo wording fights PPD (C6)","200","CONFLICT C6"
"repair-product-demo","Repair","lib/creative-candidates/productDemonstrationIntegrity.ts","PRODUCT PRESENTATION INTEGRITY REPAIR","Fix listed codes; lock PRIMARY_ACTOR; remove floating-icon fakes; value proof via PPD.","Actor swap / fake interaction","repair / assets","Product demo integrity","validateProductDemonstrationIntegrity","product demo block","Critical","High","Yes as delta","90",""
"repair-dna","Repair","lib/creative-engine-v3/dnaRepair.ts","Repair Creative DNA","Author DNA matching THIS concept only; 3–6 concept-specific immutableRules; no new story.","Invalid/inconsistent DNA on winner","repair / consistency","DNA repair path","isValidCreativeDNA","CREATIVE_DNA_AUTHORING_INSTRUCTIONS","Important","High","Yes","80",""
