id,severity,confidence,status,area,file,function,trigger,behavior,paid_work_risk,data_risk,operator_impact,recommended_fix,complexity,regression_risk
PR-011,P2,high,Confirmed,callback,lib/n8n/handlers.ts,handleContentPackageCallback,Late/duplicate package callback,Unconditional status/brief update — no terminal CAS,Low,Medium — can overwrite approved/published,Surprising status changes,Update only if status in allowed set (e.g. draft),Low,Low
PR-012,P2,high,Confirmed,transactions,lib/ai/workflows/generateContentPackage.ts,persistNewPackage,Crash between package/items/job inserts,Partial package; heal path or orphans; rollback also non-transactional,Low–Medium,Medium — orphan drafts,Heal/manual cleanup,Single RPC/transaction for persist,High,Medium
PR-013,P2,high,Confirmed,transactions,lib/api/production-run-admin.ts / settleProductionRunItem.ts,mark fail + run counters,Crash after item failed before counters,Item terminal; run counters stale until reconcile,Low,Low–Medium,Misleading progress until poll,RPC settle item+counters atomically,Medium,Low
PR-014,P2,medium,Likely,concurrency,lib/ai/workflows/generateContentPackage.ts,healMissingVideoJobIfRequired,Two concurrent heals,Two video_jobs rows possible (no unique),Medium,Medium,Duplicate start-video ambiguity,Unique partial index or RPC insert-if-missing,Medium,Medium
PR-015,P2,medium,Likely,concurrency,lib/ai/workflows/videoSceneEditor.ts,regenerateSceneImageInEditor,Concurrent scene regenerates,TOCTOU past assertNoActiveRender; orphan images,Medium,Low,Last draft wins,Lease/lock per package scene,Medium,Low
PR-016,P2,high,Confirmed,cancellation-gap,video-worker/cancellation.ts + jobRunner.ts,assertVideoJobStillActive checkpoints,Cancel between TTS start and next assert,TTS/image may complete after cancel notify,Medium — wasted provider calls,Low,Extra spend after Stop,More frequent asserts; abort fetch where supported,Medium,Low
PR-017,P2,medium,Confirmed,guards,lib/api/packageReconcileStatus.ts,resolvePackageReconcileStatus,Any job status=failed,Package slot failed even if another job completed,Low,Low — slot failed,One bad retry job fails slot,Reconcile using latest non-cancelled job or designated primary job id,Medium,Medium
PR-018,P2,high,Confirmed,guards,lib/ai/workflows/generateContentPackage.ts / regenerateContentPackage.ts,Creative DNA validation warn-only,DNA mismatch after full gen,Continues; expensive inconsistency possible,Low (no extra) / quality,Low,Silent quality drift,Promote critical DNA mismatches to repair or hard fail selectively,Medium,High
PR-019,P3,high,Confirmed,observability,docs/audits/cost-trace-c8dd3caf/summary.json,N/A,Failed packages persist no generation_telemetry,Cannot attribute failed-package spend precisely,N/A,N/A,Harder cost forensics,Persist telemetry on failure paths,Low,Low
PR-020,P3,high,Confirmed,test-gap,scripts/,N/A,No automated check for upload-success/callback-fail; no heartbeat reclaim race; no PDI repair wiring; no variant cancel coverage,Regressions undetected,N/A,N/A,False confidence,Add focused checks (not in this audit task),Low,Low
PR-021,P1,medium,Confirmed,retry-multiplication,lib/creative-engine-v3/* + lib/ai/runWithRepair.ts,planForPackage + generateValidatedJson,Single package generation under worst nested caps,≤~63 Claude completes + JSON repairs + video TTS×3 + images×10 before success,Critical relative per package,None,Long runtime / high bill,Lower CE transport attempts; fail-fast cheaper gates before CE; cap total package budget,High,High
PR-022,P2,medium,Possible,start-race,app/projects/[id]/production/actions.ts,startProductionRun,Double-click GENERATE before active run inserted,App check-then-insert only — Possible two runs,High if both trigger n8n,Medium,Two concurrent pipelines,DB unique partial active run or advisory lock,Low,Low
